doc_id,chunk_id_global,neighbor_jaccard_at_k,neighbor_spearman_on_overlap
Grampian-2023-2024,Grampian-2023-2024:p0028_001,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0029_000,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0029_001,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0029_002,0.6666666666666666,0.9819805060619657
Grampian-2023-2024,Grampian-2023-2024:p0030_000,1.0,0.9878787878787879
Grampian-2023-2024,Grampian-2023-2024:p0030_001,1.0,0.44242424242424244
Grampian-2023-2024,Grampian-2023-2024:p0030_002,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0031_000,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0031_001,0.8181818181818182,0.9950982806915577
Grampian-2023-2024,Grampian-2023-2024:p0031_002,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0032_000,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0032_001,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0033_000,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0033_001,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0033_002,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0034_000,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0034_001,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0035_000,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0035_001,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0035_002,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0036_000,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0036_001,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0037_000,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0037_001,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0037_002,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0038_000,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0039_000,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0039_001,1.0,0.9878787878787879
Grampian-2023-2024,Grampian-2023-2024:p0040_000,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0040_001,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0041_000,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0041_001,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0041_002,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0042_000,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0042_001,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0042_002,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0043_000,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0043_001,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0044_000,1.0,1.0
Grampian-2023-2024,Grampian-2023-2024:p0044_001,1.0,1.0
